dac_id	dac_code	measured_voltage	voltage_std
CS2	27700	1.054566474	3.747319041919558e-07
CS2	27800	1.0583716840000001	4.068464083732145e-07
CS2	27900	1.062176051	3.2131400529649008e-06
CS2	28000	1.0659919919999998	4.7623103636528044e-07
CS2	28100	1.069799812	3.7412746491044518e-06
CS2	28200	1.073604158	4.3083175367511486e-07
CS2	28300	1.077410081	7.258849770786101e-07
CS2	28400	1.081212717	4.740052742119153e-07
CS2	28500	1.08502203	4.914468435446159e-07
CS2	28600	1.088825458	5.953116830616543e-07
CS2	28700	1.0926339489999999	3.248830558949261e-07
CS2	28800	1.096446075	4.350229879030727e-07
CS2	28900	1.1002527770000001	5.230688291395836e-07
CS2	29000	1.104062648	4.356328729278466e-07
CS2	29100	1.1078679929999997	6.145250198483896e-07
CS2	29200	1.111671386	6.38219397978685e-07
CS2	29300	1.115476859	3.519218662967559e-07
CS2	29400	1.119283164	3.3604166405376323e-07
CS2	29500	1.1230910010000001	3.824774503233634e-07
CS2	29600	1.1269027740000002	3.929427439415211e-07
CS2	29700	1.130711031	2.3106059809796744e-07
CS2	29800	1.1345159180000002	3.6572667389904393e-07
CS2	29900	1.1383217589999999	5.076701685411642e-07
CS2	30000	1.142130176	6.17741046091811e-07
CS2	30100	1.145937542	6.954969446108205e-07
CS2	30200	1.1497402790000002	4.0579428282740725e-07
CS2	30300	1.1535457660000001	4.405042564968945e-07
CS2	30400	1.157356705	3.8541536035339344e-07
CS2	30500	1.161166337	2.7499272716631444e-07
CS2	30600	1.164972488	2.7737339453606167e-07
CS2	30700	1.1687769769999998	5.699482432842865e-07
CS2	30800	1.172584332	4.1503734770713116e-07
CS2	30900	1.176389667	2.947219028090942e-07
CS2	31000	1.180198277	4.0212062864181593e-07
CS2	31100	1.184002108	5.789956822041286e-07
CS2	31200	1.1878152	4.293949231632597e-07
CS2	31300	1.191620666	2.284819467567642e-07
CS2	31400	1.195425009	4.605529285832284e-07
CS2	31500	1.199230559	9.253480425840856e-07
CS2	31600	1.203033317	7.409865046181433e-07
CS2	31700	1.206841157	4.138369243885134e-07
CS2	31800	1.210647039	7.427576993759377e-07
CS2	31900	1.214453644	9.715883902026577e-07
CS2	32000	1.218268842	8.538243379350943e-07
CS2	32100	1.2220731820000001	6.887786291862675e-07
CS2	32200	1.2258790009999998	8.550608165448699e-07
CS2	32300	1.2296825580000001	2.5025818667696227e-06
CS2	32400	1.2334894680000001	5.561079031846399e-07
CS2	32500	1.2372941379999998	6.928174362796364e-07
